dates,1.1.1,1.1.2,1.1.3,1.1.4,1.1.5,1.2.1,1.2.2,1.2.3,1.2.4,1.2.5,1.3.1,1.3.2,1.3.3,1.3.4,1.3.5,1.4.1,1.4.2,1.4.3,1.4.4,1.4.5,1.5.1,1.5.2,1.5.3,1.5.4,1.5.5,2.1.1,2.1.2,2.1.3,2.1.4,2.1.5,2.2.1,2.2.2,2.2.3,2.2.4,2.2.5,2.3.1,2.3.2,2.3.3,2.3.4,2.3.5,2.4.1,2.4.2,2.4.3,2.4.4,2.4.5,2.5.1,2.5.2,2.5.3,2.5.4,2.5.5
1/1/18,699722.8043,754391.1319,703017.7209,1102412.446,1133363.334,766666.2285,681747.2875,613932.8892,615441.677,922112.7485,764458.8598,773888.2027,964042.6615,719015.2699,913612.9277,643803.1927,630143.6205,873210.5475,563392.0301,802544.5538,1086389.783,677912.8835,999890.7492,752420.8019,695850.9126,1084090.71,912702.3122,910102.9773,775995.8598,568589.7255,867882.3476,952476.5981,1091453.409,1041436.475,526570.2165,848108.114,1093004.252,784978.2901,932573.0658,830743.1033,829517.0841,805719.6168,736300.1497,761170.8944,683214.5926,541992.4325,660136.5006,1132886.98,545332.9173,752044.1039
1/2/18,743604.7216,822781.528,610903.7136,796736.5996,675313.3975,910806.5317,838739.7207,611308.8808,1107192.245,927128.5395,816385.5028,759754.6193,580292.9021,1009219.202,803602.7947,990006.7269,890104.2368,1019311.206,524116.3912,645582.9358,559105.865,579074.0754,708044.5001,593525.8075,512377.9154,835461.935,928748.566,857089.0604,1016007.204,552856.5896,633889.4618,942605.1485,800158.7034,738550.8813,607301.7571,939583.9074,1101005.652,848339.9727,557669.9012,992568.5414,751623.4719,805018.7073,824221.0939,630968.2312,721252.8524,561265.4713,868387.0572,619912.0433,1078259.027,562819.0674
1/3/18,793600.5339,685252.8221,1065354.263,958461.5705,685249.9882,939266.477,654661.24,569212.6766,531845.3628,716803.7968,982714.2309,700664.29,661376.2954,816809.9308,673623.5068,728144.02,540709.6944,793506.7702,642824.4511,1060275.031,885371.379,990780.2588,1067420.288,722064.8872,856408.9704,546475.9385,914369.2297,772157.5043,1087429.201,567340.9532,1097619.976,905391.3546,732657.4611,606835.6051,816495.2206,631774.5013,1142176.127,594901.7815,514620.3266,731177.3898,833623.5915,1097308.969,853432.807,746769.6562,1049315.113,1004910.312,910338.8531,969852.3504,1109780.208,705807.4721
1/4/18,826151.8254,774015.6133,952981.5174,600724.0219,780323.458,856558.4852,987514.4087,855123.6424,783249.0653,834936.0152,630356.589,904743.4952,822740.7581,943813.4332,1074262.954,747103.941,703985.7694,669965.3786,607511.0853,848091.8772,653756.2198,882772.7242,712925.3299,1067527.233,815250.1334,607749.3968,945869.1949,986030.549,865357.155,967720.5876,614758.3753,1024296.803,640669.8064,1118740.625,553969.6159,529176.4698,1015052.771,752865.9077,773858.3913,588006.9487,562007.4147,622384.3076,542728.7669,926750.3454,850121.1895,833148.3003,623633.0819,808905.4862,945943.6228,949568.3228
1/5/18,765118.1444,1084721.921,985137.4279,539946.832,914495.5068,964231.2458,496058.1417,785538.1863,767051.8232,686741.6973,1080034.251,1021005.211,953500.6815,776951.5736,977835.4254,687928.9736,738273.956,747654.0993,1111265.757,589278.5609,921709.6973,732724.8315,549505.8744,629756.2878,561471.2738,747233.9768,1120330.802,855830.8997,784341.6235,1072562.252,650293.7651,752477.0258,763160.5857,690677.0675,831324.5747,570162.3381,840126.4101,1124193.663,822356.8912,1088592.225,882432.4649,791858.6134,951531.5606,525452.1763,991531.0065,908483.6112,785964.1778,610759.5643,621354.9278,683027.0314
1/6/18,1009531.947,544087.8511,840608.2428,932597.4501,1019789.634,718380.8619,1061130.514,1022070.065,940014.1263,1086009.1,1003359.421,776348.8293,590250.2745,1117089.577,1017651.69,953617.4746,766812.1915,491203.1271,618574.0431,616337.1408,835349.2684,769638.3112,544735.4926,687266.4536,919868.4404,987461.2707,827900.1315,631260.3525,1015775.94,703647.6254,717334.4854,1000875.168,650420.8734,795585.1845,661848.9087,1004911.654,899193.615,749586.9363,713591.5744,1057774.05,830645.7525,1102763.82,840086.207,678314.2833,1062759.5,635863.2172,636149.455,625503.2979,688239.6209,482984.5965
1/7/18,982814.1871,1045284.336,688829.8028,890805.476,768878.7974,1026700.374,913686.2461,789671.0959,561658.8379,772534.6729,676447.9828,962663.0979,710192.2373,1018587.508,608427.0662,888136.9673,1118407.476,619717.1258,1108096.211,584703.4172,1136167.727,913484.1946,829425.1842,1084386.466,876646.2469,620911.6024,1057503.473,559737.8926,735079.4533,924415.0651,667966.96,752232.9355,764047.6234,846032.9039,683612.4673,819001.942,645158.4228,562120.5313,1004279.805,582865.1074,860978.1033,1082969.156,659039.9055,1036386.284,1048644.356,736488.3889,766431.6531,1000034.606,968580.7956,701913.0842
1/8/18,636179.4519,718984.2108,774183.7938,560289.8013,905151.6852,575243.4449,590832.7768,951229.3194,832014.2242,628281.4685,1049443.813,811051.8182,514773.1741,782181.5292,695250.1331,989280.5016,1077229.293,950606.4812,624358.0005,581187.0812,518750.2589,608364.1544,691355.2699,631486.4572,1133174.183,979875.8782,880854.1217,974616.7964,555812.8272,621592.9459,530131.4409,1037050.86,1008825.37,1013758.223,723126.4532,734241.4968,864125.1708,1021476.162,800171.7182,641280.9012,592317.8826,743409.865,875793.3667,671977.0416,847082.9833,719394.541,805434.6978,543949.7851,790613.3269,591671.5512
1/9/18,1122490.812,1103710.18,1141441.362,950458.2751,771705.2572,1022709.233,1036897.94,676057.8729,622834.8167,952554.0571,475925.048,727183.0751,951248.4007,582201.9829,581790.9968,696429.3613,765083.9869,788608.858,709345.0248,699601.0236,1024399.011,708499.286,682922.4108,766451.9883,1045627.007,702409.7796,971540.9187,929831.5183,700554.8532,1014343.704,921468.5542,839386.1666,653795.1382,881649.9845,986738.5997,729449.6113,1085530.101,691635.1408,851208.7632,1076498.949,628445.7469,745544.9371,521240.131,636105.2137,1136036.387,905287.3608,801217.1102,896176.5306,620751.6553,759271.6779
1/10/18,1015305.778,1055759.436,571276.751,770158.917,775542.4623,558736.7446,718527.5977,955269.127,828716.5115,770190.726,1000196.924,1136419.035,887155.0518,849466.5665,902134.2607,568741.6504,629136.5025,622782.5131,524148.4328,608961.8355,778544.0927,859884.6121,779613.4067,1007324.593,539450.6268,692493.158,549621.1814,709906.3947,805058.5498,756363.2739,890321.8021,721182.7615,1088651.963,1000392.806,877285.8693,707244.3805,976590.6404,615518.0402,495015.8583,666465.7291,893793.8638,1115244.618,731141.5319,851390.3817,1013953.836,481222.2216,914104.3145,818720.3341,578816.6416,804522.4391
