Threads,Duration
1,%!f(time.Duration=07)
2,%!f(time.Duration=03)
3,%!f(time.Duration=02)
4,%!f(time.Duration=02)
5,%!f(time.Duration=02)
6,%!f(time.Duration=01)
7,%!f(time.Duration=02)
8,%!f(time.Duration=01)
9,%!f(time.Duration=02)
10,%!f(time.Duration=02)
11,%!f(time.Duration=01)
12,%!f(time.Duration=01)
13,%!f(time.Duration=01)
14,%!f(time.Duration=01)
15,%!f(time.Duration=01)
16,%!f(time.Duration=01)
17,%!f(time.Duration=01)
18,%!f(time.Duration=01)
19,%!f(time.Duration=01)
20,%!f(time.Duration=01)
